               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.015061,            0.003875,          0.00020882,             0.96082,             0.96016,             0.98429,              0.8535,            0.010079,           0.0024361,          0.00052177,           0.0057925,           0.0057925,           0.0057925
                  53,            0.014943,           0.0038421,          0.00019293,             0.96565,             0.95873,             0.98527,             0.85403,             0.01005,           0.0024312,          0.00049944,             0.00571,             0.00571,             0.00571
                  54,            0.015001,           0.0038682,           0.0002369,             0.96565,             0.95775,             0.98489,             0.85482,            0.010002,           0.0024232,          0.00050269,           0.0056275,           0.0056275,           0.0056275
                  55,            0.015042,           0.0038539,          0.00022926,             0.96789,               0.958,             0.98552,             0.85676,            0.009962,           0.0024147,          0.00050699,            0.005545,            0.005545,            0.005545
                  56,            0.014842,           0.0038287,          0.00017864,             0.96556,             0.95628,             0.98514,              0.8553,           0.0099431,           0.0024099,          0.00054349,           0.0054625,           0.0054625,           0.0054625
                  57,            0.014896,           0.0038657,          0.00017816,             0.96446,             0.95857,             0.98502,             0.85521,             0.00994,           0.0024094,          0.00054483,             0.00538,             0.00538,             0.00538
                  58,            0.014757,           0.0038021,          0.00018905,             0.96398,             0.96028,             0.98557,             0.85478,           0.0099396,           0.0024067,          0.00049902,           0.0052975,           0.0052975,           0.0052975
                  59,            0.014785,           0.0038238,          0.00022831,              0.9623,             0.96114,             0.98683,             0.85535,           0.0099522,           0.0024069,          0.00045006,            0.005215,            0.005215,            0.005215
                  60,            0.014637,           0.0038051,          0.00018897,              0.9628,             0.96211,              0.9867,             0.85466,           0.0099392,            0.002404,           0.0004511,           0.0051325,           0.0051325,           0.0051325
                  61,            0.014646,           0.0038081,          0.00017211,              0.9624,              0.9618,             0.98619,             0.85386,           0.0099403,           0.0024025,          0.00045616,             0.00505,             0.00505,             0.00505
                  62,            0.014561,            0.003767,          0.00020213,             0.96157,             0.96093,             0.98623,             0.85361,           0.0099368,            0.002402,          0.00046397,           0.0049675,           0.0049675,           0.0049675
                  63,            0.014663,           0.0037861,          0.00022992,             0.96315,             0.96086,              0.9867,             0.85412,           0.0099244,           0.0024009,            0.000464,            0.004885,            0.004885,            0.004885
                  64,            0.014445,           0.0037512,          0.00016735,             0.96489,             0.96083,             0.98711,             0.85455,           0.0099149,           0.0023993,          0.00047224,           0.0048025,           0.0048025,           0.0048025
                  65,            0.014566,           0.0037562,          0.00022879,             0.96565,             0.95912,             0.98741,             0.85505,           0.0099116,           0.0023974,          0.00048011,             0.00472,             0.00472,             0.00472
                  66,            0.014474,           0.0037467,          0.00021713,             0.96665,             0.95945,             0.98763,             0.85435,           0.0099145,           0.0023962,          0.00047412,           0.0046375,           0.0046375,           0.0046375
                  67,            0.014435,           0.0037629,          0.00020713,             0.96752,             0.96021,              0.9865,             0.85358,           0.0099143,           0.0023947,           0.0004676,            0.004555,            0.004555,            0.004555
                  68,            0.014439,            0.003755,          0.00017052,             0.96523,             0.96052,             0.98701,             0.85319,           0.0099152,           0.0023934,          0.00046141,           0.0044725,           0.0044725,           0.0044725
                  69,            0.014331,           0.0037227,          0.00018265,             0.96743,             0.95976,             0.98732,             0.85516,           0.0099116,            0.002392,          0.00045392,             0.00439,             0.00439,             0.00439
                  70,            0.014295,           0.0037525,          0.00019887,             0.96454,             0.96266,             0.98848,             0.85425,           0.0099075,           0.0023898,          0.00045006,           0.0043075,           0.0043075,           0.0043075
                  71,            0.014216,           0.0037123,          0.00014567,             0.96338,             0.96481,             0.98868,             0.85463,           0.0099055,           0.0023872,          0.00044579,            0.004225,            0.004225,            0.004225
                  72,            0.014052,           0.0036744,          0.00012994,             0.96414,             0.96286,             0.98887,              0.8548,           0.0099019,           0.0023857,          0.00044473,           0.0041425,           0.0041425,           0.0041425
                  73,            0.013971,           0.0036521,           0.0001799,             0.96421,             0.96451,             0.98899,             0.85532,           0.0099015,           0.0023839,          0.00044497,             0.00406,             0.00406,             0.00406
                  74,            0.014081,           0.0036864,          0.00015867,             0.96151,             0.96657,              0.9891,             0.85566,           0.0098973,           0.0023819,          0.00044508,           0.0039775,           0.0039775,           0.0039775
                  75,            0.014136,           0.0036925,           0.0001792,             0.96165,              0.9657,              0.9892,             0.85593,            0.009894,           0.0023798,          0.00044485,            0.003895,            0.003895,            0.003895
                  76,            0.013875,           0.0036672,          0.00012546,             0.96165,             0.96494,             0.98931,             0.85572,           0.0098923,           0.0023785,          0.00044719,           0.0038125,           0.0038125,           0.0038125
                  77,            0.013953,           0.0036668,          0.00019233,             0.96175,             0.96623,             0.98938,             0.85613,           0.0098915,            0.002377,          0.00044537,             0.00373,             0.00373,             0.00373
                  78,            0.013801,           0.0036306,          0.00011428,             0.96171,             0.96651,             0.98938,             0.85572,           0.0098845,           0.0023752,          0.00044756,           0.0036475,           0.0036475,           0.0036475
                  79,            0.013765,           0.0036211,          0.00020285,             0.96172,             0.96669,             0.98941,              0.8558,           0.0098833,           0.0023738,          0.00044868,            0.003565,            0.003565,            0.003565
                  80,            0.013746,           0.0036363,          0.00014297,             0.96252,             0.96686,             0.98948,             0.85621,             0.00988,           0.0023722,          0.00045258,           0.0034825,           0.0034825,           0.0034825
                  81,            0.013655,            0.003591,          0.00011441,             0.96246,             0.96706,             0.98956,             0.85618,           0.0098773,           0.0023707,          0.00045262,              0.0034,              0.0034,              0.0034
                  82,             0.01353,           0.0035846,          0.00012811,             0.96209,             0.96575,             0.98971,             0.85619,           0.0098756,           0.0023691,          0.00045254,           0.0033175,           0.0033175,           0.0033175
                  83,            0.013549,           0.0035779,          0.00012544,              0.9616,             0.96576,             0.98976,             0.85692,           0.0098733,           0.0023675,          0.00045433,            0.003235,            0.003235,            0.003235
                  84,            0.013425,            0.003568,          0.00010874,             0.96081,             0.96674,             0.98974,             0.85694,           0.0098707,           0.0023662,          0.00045711,           0.0031525,           0.0031525,           0.0031525
                  85,            0.013446,           0.0035551,          0.00011003,             0.96193,              0.9658,             0.98978,              0.8569,           0.0098705,           0.0023654,          0.00045945,             0.00307,             0.00307,             0.00307
                  86,            0.013372,           0.0035347,          0.00012583,             0.96166,              0.9658,              0.9898,             0.85603,           0.0098716,           0.0023645,          0.00046041,           0.0029875,           0.0029875,           0.0029875
                  87,            0.013317,           0.0035481,          0.00013421,             0.96234,             0.96618,              0.9898,             0.85624,           0.0098688,            0.002363,          0.00046268,            0.002905,            0.002905,            0.002905
                  88,            0.013344,           0.0035751,          0.00011146,             0.96239,             0.96561,              0.9898,             0.85644,           0.0098664,           0.0023617,          0.00046424,           0.0028225,           0.0028225,           0.0028225
                  89,            0.013275,           0.0035314,          0.00010865,             0.95979,             0.96907,             0.98985,              0.8568,           0.0098611,           0.0023604,          0.00046534,             0.00274,             0.00274,             0.00274
                  90,             0.01317,           0.0035278,          0.00011319,              0.9599,             0.96986,             0.98993,             0.85569,           0.0098586,           0.0023591,          0.00046509,           0.0026575,           0.0026575,           0.0026575
                  91,             0.01306,           0.0035277,          0.00010929,             0.95962,             0.96973,             0.98995,             0.85546,           0.0098573,            0.002358,           0.0004679,            0.002575,            0.002575,            0.002575
                  92,             0.01304,           0.0034946,          9.1157e-05,             0.95982,             0.96967,             0.98996,             0.85571,           0.0098525,           0.0023567,          0.00046954,           0.0024925,           0.0024925,           0.0024925
                  93,            0.013011,           0.0034811,          9.6823e-05,              0.9606,             0.96869,             0.98997,             0.85575,           0.0098492,           0.0023554,          0.00047106,             0.00241,             0.00241,             0.00241
                  94,            0.012932,           0.0035033,          0.00010108,              0.9607,             0.96869,             0.98999,             0.85565,           0.0098463,            0.002354,          0.00047188,           0.0023275,           0.0023275,           0.0023275
                  95,            0.012979,           0.0034742,          0.00012085,             0.96166,             0.96856,             0.98999,             0.85607,            0.009846,            0.002353,          0.00047328,            0.002245,            0.002245,            0.002245
                  96,            0.012816,           0.0034443,          0.00013041,             0.96169,             0.96856,             0.98999,             0.85605,           0.0098435,           0.0023518,          0.00047521,           0.0021625,           0.0021625,           0.0021625
                  97,            0.012705,           0.0034208,          9.9135e-05,             0.96177,             0.96856,             0.99001,             0.85628,            0.009839,           0.0023503,          0.00047631,             0.00208,             0.00208,             0.00208
                  98,            0.012702,           0.0034185,          9.5056e-05,             0.96212,             0.96851,             0.98998,              0.8563,            0.009836,           0.0023491,          0.00047827,           0.0019975,           0.0019975,           0.0019975
                  99,            0.012667,           0.0034398,          8.9149e-05,             0.96212,             0.96847,             0.98998,             0.85646,           0.0098353,           0.0023478,          0.00048207,            0.001915,            0.001915,            0.001915
                 100,             0.01256,           0.0034008,          8.2537e-05,             0.96216,             0.96834,             0.98995,             0.85628,           0.0098315,           0.0023465,          0.00048558,           0.0018325,           0.0018325,           0.0018325
                 101,            0.012458,           0.0033897,          9.2864e-05,             0.96243,             0.96832,             0.98997,             0.85648,           0.0098295,           0.0023452,          0.00048825,             0.00175,             0.00175,             0.00175
                 102,            0.012427,           0.0033554,          9.3984e-05,             0.96261,             0.96831,             0.99001,             0.85654,           0.0098289,           0.0023439,          0.00049178,           0.0016675,           0.0016675,           0.0016675
                 103,            0.012356,           0.0033574,          8.5025e-05,             0.96283,             0.96828,             0.98999,             0.85637,           0.0098275,           0.0023425,          0.00049648,            0.001585,            0.001585,            0.001585
                 104,            0.012385,           0.0033619,          9.0485e-05,             0.96301,             0.96828,             0.98995,             0.85628,           0.0098252,           0.0023411,          0.00049932,           0.0015025,           0.0015025,           0.0015025
                 105,            0.012298,           0.0033328,          0.00011822,             0.96313,             0.96809,             0.98995,             0.85616,           0.0098234,           0.0023395,          0.00050099,             0.00142,             0.00142,             0.00142
                 106,            0.012097,           0.0033233,          8.0491e-05,             0.96311,             0.96773,             0.98996,             0.85626,           0.0098204,            0.002338,          0.00050265,           0.0013375,           0.0013375,           0.0013375
                 107,            0.012172,           0.0033393,          7.5107e-05,             0.96386,             0.96727,             0.99002,             0.85658,           0.0098217,           0.0023365,          0.00050412,            0.001255,            0.001255,            0.001255
                 108,            0.012084,           0.0033111,          6.8667e-05,             0.96463,             0.96682,             0.99004,             0.85672,           0.0098202,           0.0023353,           0.0005066,           0.0011725,           0.0011725,           0.0011725
                 109,            0.011981,           0.0032667,          5.2272e-05,             0.96468,             0.96542,             0.99001,             0.85666,           0.0098203,           0.0023341,          0.00050922,             0.00109,             0.00109,             0.00109
                 110,            0.011841,           0.0032541,          4.8397e-05,             0.96466,             0.96506,                0.99,             0.85646,           0.0098183,           0.0023325,          0.00051249,           0.0010075,           0.0010075,           0.0010075
                 111,            0.011824,           0.0032665,          7.9315e-05,             0.96468,             0.96439,             0.98997,             0.85642,           0.0098176,           0.0023309,          0.00051581,            0.000925,            0.000925,            0.000925
                 112,            0.011842,            0.003269,          7.2013e-05,             0.96541,             0.96408,             0.98999,             0.85639,           0.0098151,           0.0023292,           0.0005192,           0.0008425,           0.0008425,           0.0008425
                 113,            0.011651,           0.0032288,          6.7062e-05,             0.96558,             0.96383,             0.98999,             0.85606,           0.0098143,           0.0023275,          0.00052197,             0.00076,             0.00076,             0.00076
                 114,            0.011559,            0.003212,          4.7307e-05,             0.96591,             0.96346,             0.98997,             0.85633,           0.0098132,            0.002326,          0.00052315,           0.0006775,           0.0006775,           0.0006775
                 115,            0.011518,           0.0031876,          6.1141e-05,             0.96595,             0.96339,             0.98997,              0.8559,           0.0098128,           0.0023247,          0.00052454,            0.000595,            0.000595,            0.000595
                 116,             0.01148,           0.0031948,          4.6423e-05,             0.96588,             0.96329,             0.98984,             0.85618,           0.0098148,           0.0023232,          0.00052575,           0.0005125,           0.0005125,           0.0005125
                 117,            0.011357,           0.0031776,          5.7282e-05,             0.96951,             0.95908,             0.99001,             0.85605,           0.0098147,           0.0023216,          0.00052653,             0.00043,             0.00043,             0.00043
                 118,            0.011321,           0.0031625,           4.543e-05,              0.9694,             0.95908,                0.99,             0.85681,            0.009815,             0.00232,           0.0005278,           0.0003475,           0.0003475,           0.0003475
                 119,            0.011307,           0.0031742,          5.1064e-05,             0.96942,             0.95905,             0.98987,             0.85689,           0.0098148,           0.0023184,           0.0005295,            0.000265,            0.000265,            0.000265
